timestamps,z_scores_1,z_scores_2,stouffers_z,nvar,svar
2025-07-29 11:44:27.851247,1.125,0.625,1.2374368670764582,1.53125,83
2025-07-29 11:44:27.952474,1.125,1.125,1.590990257669732,2.53125,137
2025-07-29 11:44:28.053858,0.125,0.25,0.2651650429449553,0.07031249999999999,5
2025-07-29 11:44:28.157012,0.375,0.875,0.8838834764831843,0.7812499999999999,43
2025-07-29 11:44:28.258100,1.75,0.5,1.590990257669732,2.53125,137
2025-07-29 11:44:28.359227,1.5,0.625,1.5026019100214134,2.2578124999999996,123
2025-07-29 11:44:28.460387,0.375,1.75,1.5026019100214134,2.2578124999999996,123
2025-07-29 11:44:28.561452,0.75,1.125,1.3258252147247764,1.7578124999999996,96
2025-07-29 11:44:28.662494,0.625,2.25,2.032931995911324,4.1328125,223
2025-07-29 11:44:28.763535,0.75,1.125,1.3258252147247764,1.7578124999999996,96
2025-07-29 11:44:28.864560,0.75,2.5,2.2980970388562794,5.28125,285
2025-07-29 11:44:28.965663,1.875,1.625,2.4748737341529163,6.125,324
2025-07-29 11:44:29.066705,0.75,0.375,0.795495128834866,0.6328125,35
2025-07-29 11:44:29.167758,1.25,0.875,1.5026019100214134,2.2578124999999996,123
2025-07-29 11:44:29.268799,0.875,1.5,1.6793786053180502,2.820312499999999,153
2025-07-29 11:44:29.370425,1.25,1.0,1.590990257669732,2.53125,137
2025-07-29 11:44:29.472218,1.625,1.0,1.8561553006146871,3.4453124999999996,186
2025-07-29 11:44:29.573836,1.25,1.25,1.7677669529663687,3.1249999999999996,169
2025-07-29 11:44:29.678328,1.375,1.5,2.032931995911324,4.1328125,223
2025-07-29 11:44:29.780620,1.375,0.75,1.5026019100214134,2.2578124999999996,123
2025-07-29 11:44:29.882269,0.75,0.5,0.8838834764831843,0.7812499999999999,43
2025-07-29 11:44:29.984317,0.125,1.0,0.795495128834866,0.6328125,35
2025-07-29 11:44:30.086023,0.875,2.125,2.1213203435596424,4.499999999999999,243
2025-07-29 11:44:30.187894,1.125,0.75,1.3258252147247764,1.7578124999999996,96
2025-07-29 11:44:30.289964,0.25,0.75,0.7071067811865475,0.4999999999999999,28
2025-07-29 11:44:30.391914,1.375,0.125,1.0606601717798212,1.1249999999999998,62
2025-07-29 11:44:30.494138,0.875,0.0,0.6187184335382291,0.3828125,22
2025-07-29 11:44:30.596149,1.0,0.5,1.0606601717798212,1.1249999999999998,62
2025-07-29 11:44:30.698020,0.125,0.125,0.17677669529663687,0.031249999999999993,3
2025-07-29 11:44:30.800338,1.75,0.5,1.590990257669732,2.53125,137
2025-07-29 11:44:30.904021,0.125,1.25,0.9722718241315028,0.9453124999999999,52
