z1,z2,rolling_corr,rolling_corr_ma
0.7581521739130435,0.8369565217391305,,
0.9261363636363636,0.7272727272727273,-1.0000000000000258,
0.8852040816326531,0.6045918367346939,-0.702630658291848,
0.8958333333333334,0.6666666666666666,-0.7249032919436222,
0.847972972972973,0.9087837837837838,-0.5891849449923575,
0.7132352941176471,0.8161764705882353,-0.5683636247835365,
0.85,0.76,-0.5673505670751469,
0.8058510638297872,0.723404255319149,-0.5326726328045925,
0.7880434782608695,0.8097826086956522,-0.5530776012813081,
0.6458333333333334,0.8984375,-0.6651036364469659,
0.7989130434782609,0.7065217391304348,-0.6197651835309618,
0.7256944444444444,0.875,-0.6732340362726428,
0.8035714285714286,0.8357142857142857,-0.5752522610385868,
0.6302083333333334,0.90625,-0.5281117867141746,
0.6444444444444445,0.7472222222222222,-0.5741617197229218,
0.8869047619047619,0.8571428571428571,-0.37923988803231373,
0.8188775510204082,0.8316326530612245,-0.294691969400428,
0.6477272727272727,0.6704545454545454,0.048516909836518685,
0.671875,0.884375,-0.006116532331191749,
0.8879310344827587,0.5603448275862069,-0.27449174281724226,
1.1625,0.8541666666666666,-0.012038738362734164,-0.48959369530030417
0.7581521739130435,0.8369565217391305,,
0.9261363636363636,0.7272727272727273,-1.0000000000000258,
0.8852040816326531,0.6045918367346939,-0.702630658291848,
0.8958333333333334,0.6666666666666666,-0.7249032919436222,
0.847972972972973,0.9087837837837838,-0.5891849449923575,
0.7132352941176471,0.8161764705882353,-0.5683636247835365,
0.85,0.76,-0.5673505670751469,
0.8058510638297872,0.723404255319149,-0.5326726328045925,
0.7880434782608695,0.8097826086956522,-0.5530776012813081,
0.6458333333333334,0.8984375,-0.6651036364469659,
0.7989130434782609,0.7065217391304348,-0.6197651835309618,
0.7256944444444444,0.875,-0.6732340362726428,
0.8035714285714286,0.8357142857142857,-0.5752522610385868,
0.6302083333333334,0.90625,-0.5281117867141746,
0.6444444444444445,0.7472222222222222,-0.5741617197229218,
0.8869047619047619,0.8571428571428571,-0.37923988803231373,
0.8188775510204082,0.8316326530612245,-0.294691969400428,
0.6477272727272727,0.6704545454545454,0.048516909836518685,
0.671875,0.884375,-0.006116532331191749,
0.8879310344827587,0.5603448275862069,-0.27449174281724226,
1.1625,0.8541666666666666,-0.012038738362734164,-0.48959369530030417
0.7862903225806451,0.7782258064516129,0.020245363631928002,-0.4385814271187064
0.6919642857142857,0.7321428571428571,0.048330872727979285,-0.4010333505677151
0.7581521739130435,0.8369565217391305,,
0.9261363636363636,0.7272727272727273,-1.0000000000000258,
0.8852040816326531,0.6045918367346939,-0.702630658291848,
0.8958333333333334,0.6666666666666666,-0.7249032919436222,
0.847972972972973,0.9087837837837838,-0.5891849449923575,
0.7132352941176471,0.8161764705882353,-0.5683636247835365,
0.85,0.76,-0.5673505670751469,
0.8058510638297872,0.723404255319149,-0.5326726328045925,
0.7880434782608695,0.8097826086956522,-0.5530776012813081,
0.6458333333333334,0.8984375,-0.6651036364469659,
0.7989130434782609,0.7065217391304348,-0.6197651835309618,
0.7256944444444444,0.875,-0.6732340362726428,
0.8035714285714286,0.8357142857142857,-0.5752522610385868,
0.6302083333333334,0.90625,-0.5281117867141746,
0.6444444444444445,0.7472222222222222,-0.5741617197229218,
0.8869047619047619,0.8571428571428571,-0.37923988803231373,
0.8188775510204082,0.8316326530612245,-0.294691969400428,
0.6477272727272727,0.6704545454545454,0.048516909836518685,
0.671875,0.884375,-0.006116532331191749,
0.8879310344827587,0.5603448275862069,-0.27449174281724226,
1.1625,0.8541666666666666,-0.012038738362734164,-0.48959369530030417
